SMILES,num_atoms,U0,gap
CC(O)C=O,11,-268.28766,0.2271
CN(C)C=O,12,-248.43037,0.2751
CC(=O)CO,11,-268.30118,0.2437
CCC(C)=O,13,-232.3777,0.2351
CCC(N)=O,12,-248.44847,0.2793
CNC(C)=O,12,-248.4435,0.2805
CNC(N)=O,11,-264.5045,0.3034
COC(C)=N,12,-248.41646,0.2948
COC(C)=O,11,-268.32126,0.2859
COC(N)=O,10,-284.3852,0.3244
NC(=O)CO,10,-284.36032,0.2733
CC(C)CO,15,-233.55139,0.3418
CC(O)CO,13,-269.47925,0.3228
CCC(C)C,17,-197.6294,0.3934
CCC(C)O,15,-233.55595,0.335
COC(C)C,15,-233.5459,0.3336
CC1(C)CC1,15,-196.40935,0.3526
CC1(C)CO1,13,-232.33577,0.3505
CC1(O)CC1,13,-232.3334,0.327
N=C1CCO1,10,-247.20117,0.2907
O=C1CCC1,11,-231.15578,0.2222
O=C1CCN1,10,-247.22562,0.288
O=C1CCO1,9,-267.1062,0.2878
O=C1CNC1,10,-247.1902,0.2179
O=C1COC1,9,-267.06848,0.2295
CC1CCC1,15,-196.40796,0.3823
CC1CCO1,13,-232.33122,0.3325
CC1COC1,13,-232.32594,0.3233
OC1CCC1,13,-232.33325,0.3361
OC1COC1,11,-268.24838,0.3069
CC1CC1C,15,-196.40642,0.3573
CC1CC1O,13,-232.32907,0.334
CC1CN1C,14,-212.43819,0.313
CC1OC1C,13,-232.33444,0.3557
OC1CC1O,11,-268.25113,0.3011
C1C2CC1C2,13,-195.15874,0.4056
C1C2CC1O2,11,-231.06932,0.3346
C#CCC#C,9,-192.7361,0.2978
C#CCC#N,8,-208.84235,0.3022
N#CCC#N,7,-224.94466,0.3344
O=CCC#C,9,-229.918,0.2245
O=CCC#N,8,-246.02322,0.23
N=CNC=O,9,-263.28073,0.2276
N=COC=O,8,-283.15665,0.2636
O=CNC=O,8,-283.17978,0.2191
CC#CC#C,9,-192.76245,0.2335
CC#CC#N,8,-208.86327,0.2494
CC#CC=O,9,-229.92845,0.2051
CC#CCO,11,-231.1114,0.2789
CCC#CC,13,-195.19675,0.3033
COC=NC,12,-248.3953,0.2732
CCCC#C,13,-195.18623,0.3169
CCCC#N,12,-211.29517,0.355
CNCC#N,11,-227.32477,0.2698
COCC#C,11,-231.09221,0.2889
COCC#N,10,-247.198,0.2939
OCCC#C,11,-231.10631,0.3174
OCCC#N,10,-247.21445,0.3237
CCCC=O,13,-232.36363,0.2292
CCNC=O,12,-248.43607,0.2834
CCOC=O,11,-268.30786,0.2868
COCC=O,11,-268.27325,0.2295
OCCC=O,11,-268.28265,0.225
CCCCC,17,-197.62941,0.403
CCCCO,15,-233.54936,0.3428
CCCOC,15,-233.54245,0.3426
CCOCC,15,-233.54788,0.3414
COCCO,13,-269.46527,0.3431
OCCCO,13,-269.4684,0.3386
C#CC1CC1,11,-193.96332,0.2928
C#CC1CN1,10,-210.00157,0.2744
C#CC1CO1,9,-229.8796,0.2839
N#CC1CC1,10,-210.07147,0.322
N#CC1CN1,9,-226.10721,0.2851
N#CC1CO1,8,-245.98337,0.3004
O=CC1CC1,11,-231.14516,0.2329
O=CC1CN1,10,-247.18434,0.2258
O=CC1CO1,9,-267.06033,0.2217
O=CN1CC1,10,-247.19252,0.2542
CCC1CC1,15,-196.40532,0.3709
CCC1CO1,13,-232.32817,0.3599
CCN1CC1,14,-212.43929,0.3249
COC1CC1,13,-232.3174,0.3395
OCC1CC1,13,-232.32497,0.339
OCC1CN1,12,-248.36436,0.3113
OCC1CO1,11,-268.2488,0.3418
C1CC=CC1,13,-195.22607,0.2661
C1CN=CO1,10,-247.21504,0.272
C1OCC=C1,11,-231.14258,0.2491
C1CCCC1,15,-196.43283,0.3922
C1CCOC1,13,-232.35176,0.3304
C1COCO1,11,-268.27374,0.3437
C1C2CCC12,13,-195.17973,0.3506
C1C2COC12,11,-231.0931,0.319
C1CC2OC12,11,-231.10211,0.3468
N1C=CC=N1,9,-226.14438,0.2677
N1C=CN=N1,8,-242.18015,0.2618
N1C=NC=N1,8,-242.20563,0.2764
N1C=NN=C1,8,-242.19635,0.2715
N1N=CC=N1,8,-242.186,0.2687
O1C=CC=N1,8,-245.99406,0.2538
O1C=CN=N1,7,-262.03513,0.2422
O1C=NC=N1,7,-262.05652,0.2719
O1C=NN=C1,7,-262.0655,0.2711
O1C=NN=N1,6,-278.07578,0.2667
O1N=CC=N1,7,-262.01773,0.2698
O1N=CN=N1,6,-278.05933,0.2563
O1N=NN=N1,5,-294.0816,0.2598
CC(=NO)C#C,11,-285.21796,0.2068
CC(CO)=NO,13,-323.5857,0.2567
CCC(C)=NO,15,-287.6626,0.2562
ON=C1CCC1,13,-286.43808,0.2479
ON=C1CNC1,12,-302.4724,0.2326
ON=C1COC1,11,-322.35104,0.2452
FC(F)(F)F,5,-437.48486,0.6221
O=C1NC=CN1,10,-301.40555,0.2357
O=C1NC=CO1,9,-321.27628,0.2422
O=C1OC=CO1,8,-341.14563,0.2556
CC1=CC=CN1,13,-249.39737,0.243
CC1=CC=CO1,12,-269.26758,0.2363
CC1=CN=CO1,11,-285.32825,0.243
CC1=NC=CO1,11,-285.33017,0.2453
NC1=CC=CN1,12,-265.44162,0.2406
NC1=CC=CO1,11,-285.3136,0.2241
NC1=CN=CO1,10,-301.3735,0.2251
NC1=NC=CO1,10,-301.38113,0.2373
OC1=CC=CN1,11,-285.3202,0.2449
OC1=CN=CN1,10,-301.378,0.247
OC1=NC=CN1,10,-301.3892,0.2555
CC1=CNC=C1,13,-249.39532,0.2515
CC1=CNC=N1,12,-265.45743,0.2533
CC1=COC=C1,12,-269.2635,0.2434
CC1=COC=N1,11,-285.32672,0.2468
NC1=CNC=C1,12,-265.4385,0.2299
NC1=CNC=N1,11,-281.50458,0.2241
NC1=COC=C1,11,-285.307,0.2237
NC1=COC=N1,10,-301.37384,0.2164
OC1=CNC=C1,11,-285.3164,0.2364
OC1=CNC=N1,10,-301.38544,0.2321
OC1=COC=N1,9,-321.2528,0.2252
CN1C=CC=C1,13,-249.3875,0.2469
CN1C=CN=C1,12,-265.44727,0.2541
C1=CC=CC=C1,12,-232.16458,0.2503
C1=CC=NC=C1,11,-248.21193,0.2293
C1=CN=CC=N1,10,-264.2556,0.1982
C1=CN=CN=C1,10,-264.26184,0.2116
C1=NC=NC=N1,9,-280.3141,0.2214
CC(C)(C)C#C,16,-234.47652,0.3214
CC(C)(C)C#N,15,-250.58585,0.3594
CC(C)(N)C#N,14,-266.6306,0.3024
CC(C)(O)C#C,14,-270.39908,0.3014
CC(C)(O)C#N,13,-286.5063,0.3148
CC(C)(C)C=O,16,-271.65637,0.2291
CC(C)(O)C=O,14,-307.58203,0.2265
CC(C)(C)CO,18,-272.84134,0.3363
CC(C)(O)CO,16,-308.76956,0.3346
CCC(C)(C)C,20,-236.91747,0.378
CCC(C)(C)O,18,-272.84753,0.3259
COC(C)(C)C,18,-272.8356,0.3245
CC#CC(C)=O,12,-269.23026,0.2082
CC#CC(N)=O,11,-285.30045,0.2342
CC#CC(C)C,16,-234.48618,0.3036
CC#CC(C)O,14,-270.40872,0.2908
CC(=O)CC#C,12,-269.21933,0.2275
CC(=O)CC#N,11,-285.32465,0.237
NC(=O)CC#C,11,-285.2879,0.2742
NC(=O)CC#N,10,-301.39487,0.2792
CC(=N)NC=O,12,-302.58856,0.2434
CC(=N)OC=O,11,-322.46066,0.2472
CC(=O)CC=O,12,-306.39764,0.2124
CC(=O)NC=N,12,-302.57965,0.2283
CC(=O)NC=O,11,-322.47977,0.2213
CC(=O)OC=N,11,-322.46472,0.2533
NC(=O)CC=O,11,-322.46985,0.2223
NC(=O)NC=N,11,-318.6419,0.2484
NC(=O)NC=O,10,-338.54297,0.242
NC(=O)OC=N,10,-338.53152,0.2767
CC(C)CC#C,16,-234.47607,0.3143
CC(C)CC#N,15,-250.58519,0.3507
CC(O)CC#C,14,-270.40106,0.3167
CC(O)CC#N,13,-286.50836,0.3214
CN(C)CC#N,14,-266.60913,0.2588
CC(C)CC=O,16,-271.6532,0.2284
CC(C)NC=O,15,-287.72787,0.2832
CC(C)OC=O,14,-307.60208,0.2863
CC(O)CC=O,14,-307.57782,0.2232
CN(C)CC=O,15,-287.6812,0.2016
CC(=O)CCO,14,-307.58603,0.2348
CCCC(C)=O,16,-271.66605,0.2345
CCCC(N)=O,15,-287.73685,0.2789
CCNC(C)=O,15,-287.73465,0.2783
CCNC(N)=O,14,-303.7957,0.3025
CCOC(C)=O,14,-307.61487,0.285
CCOC(N)=O,13,-323.6788,0.3235
COCC(C)=O,14,-307.57193,0.2347
COCC(N)=O,13,-323.64136,0.2738
NC(=O)CCO,13,-323.6573,0.2798
[NH3+]CCC([O-])=O,13,-323.58295,0.1338
CC(C)CCO,18,-272.83755,0.342
CC(O)CCO,16,-308.76465,0.3302
CCCC(C)C,20,-236.91766,0.3901
CCCC(C)O,18,-272.84457,0.3352
CCOC(C)C,18,-272.83957,0.3333
COCC(C)C,18,-272.8327,0.3384
COCC(C)O,16,-308.75912,0.3359
CC(=O)C(C)=O,12,-306.4066,0.1582
CC(=O)C(N)=O,11,-322.48267,0.1784
NC(=[NH2+])C([O-])=O,10,-338.53006,0.1973
NC(=O)C(N)=O,10,-338.55997,0.21
CC(C)C(C)=O,16,-271.66516,0.2308
CC(C)C(N)=O,15,-287.7375,0.278
CC(O)C(C)=O,14,-307.59415,0.2371
CC(O)C(N)=O,13,-323.666,0.2786
CN(C)C(C)=O,15,-287.72385,0.2696
CN(C)C(N)=O,14,-303.78583,0.2909
CC(C)C(C)C,20,-236.91603,0.3838
CC(C)C(C)O,18,-272.84375,0.3297
CC(O)C(C)O,16,-308.77228,0.3208
CC1(C)CCC1,18,-235.69904,0.3649
CC1(C)CCO1,16,-271.6267,0.3205
CC1(C)COC1,16,-271.61816,0.3154
CC1(O)CCC1,16,-271.62784,0.3269
CC1(O)COC1,14,-307.5447,0.3076
CC1(C)CC1O,16,-271.62195,0.3327
CC1(O)CC1O,14,-307.54614,0.3221
CC1CC1(C)C,18,-235.69899,0.3445
CC1CC1(C)O,16,-271.62396,0.3256
CC1OC1(C)C,16,-271.6304,0.3468
CN1CC1(C)C,17,-251.73283,0.3063
CC1CC(=N)O1,13,-286.49823,0.2903
CC1CC(=O)C1,14,-270.44693,0.2231
CC1CC(=O)N1,13,-286.51974,0.2852
CC1CC(=O)O1,12,-306.40314,0.2861
CN1CC(=O)C1,13,-286.47647,0.2071
OC1CC(=O)C1,12,-306.36963,0.2214
CC1CC(C)C1,18,-235.70029,0.3739
CC1CC(C)O1,16,-271.62836,0.3341
CC1CC(O)C1,16,-271.62463,0.3318
CN1CC(O)C1,15,-287.65704,0.3034
OC1CC(O)C1,14,-307.5486,0.3216
CC12CC(C1)C2,16,-234.45543,0.3917
CC12CC(C1)O2,14,-270.37012,0.3319
CC12CN(C1)C2,15,-250.47885,0.3091
OC12CC(C1)C2,14,-270.38272,0.3397
OC12CN(C1)C2,13,-286.40848,0.3126
O=C(C#C)C#C,8,-266.76346,0.1902
O=C(C#C)C#N,7,-282.8611,0.1947
O=C(C#N)C#N,6,-298.95294,0.1977
O=CC(=O)C#C,8,-303.93433,0.1491
O=CC(=O)C#N,7,-320.02985,0.1475
O=CC(=O)C=O,8,-341.09744,0.1151
CC(C#C)C#C,12,-232.02592,0.2962
CC(C#C)C#N,11,-248.1327,0.2995
CC(C#N)C#N,10,-264.2358,0.3304
NC(C#C)C#N,10,-264.17194,0.2768
NC(C#N)C#N,9,-280.27368,0.2758
OC(C#C)C#C,10,-267.94427,0.2747
OC(C#C)C#N,9,-284.0487,0.2821
OC(C#N)C#N,8,-300.1489,0.3
CC(C=O)C#C,12,-269.2077,0.2213
CC(C=O)C#N,11,-285.3133,0.2256
OC(C=O)C#C,10,-305.1302,0.2216
OC(C=O)C#N,9,-321.23358,0.234
CC(C=O)C=O,12,-306.3833,0.1986
CN(C=N)C=O,12,-302.5797,0.2424
CN(C=O)C=O,11,-322.47726,0.2374
OC(C=O)C=O,10,-342.3077,0.1986
CN=C(N)C#N,11,-281.481,0.2223
CN=C(N)C=O,12,-302.5644,0.187
CCC(=O)C#C,12,-269.21698,0.2087
CCC(=O)C#N,11,-285.31744,0.2122
CNC(=N)C#N,11,-281.48486,0.2121
CNC(=O)C#C,11,-285.28253,0.2349
COC(=O)C#C,10,-305.15598,0.2382
COC(=O)C#N,9,-321.25497,0.248
OCC(=O)C#C,10,-305.1303,0.2088
OCC(=O)C#N,9,-321.23004,0.2122
CCC(=O)C=O,12,-306.39282,0.1571
CNC(=N)C=O,12,-302.55853,0.1707
CNC(=O)C=O,11,-322.45407,0.178
COC(=O)C=O,10,-342.32922,0.1821
OCC(=O)C=O,10,-342.29785,0.1563
CCC(=O)CC,16,-271.66684,0.2356
CCC(=O)CO,14,-307.58008,0.2356
CCC(=O)NC,15,-287.73233,0.28
CCC(=O)OC,14,-307.61044,0.2871
CNC(=O)CO,13,-323.64447,0.2707
CNC(=O)NC,14,-303.7872,0.3052
CNC(=O)OC,13,-323.6692,0.3158
COC(=O)CN,13,-323.65228,0.2616
COC(=O)CO,12,-343.53168,0.2737
OCC(=O)CO,12,-343.4925,0.2348
COC(C)=NC,15,-287.69733,0.2761
CC(CO)C#C,14,-270.3961,0.3166
CC(CO)C#N,13,-286.50455,0.3246
CCC(C)C#C,16,-234.47409,0.3157
CCC(C)C#N,15,-250.58325,0.3527
CCC(N)C#N,14,-266.62677,0.298
CCC(O)C#C,14,-270.39746,0.2982
CCC(O)C#N,13,-286.50403,0.3145
CNC(C)C#N,14,-266.61545,0.2711
COC(C)C#C,14,-270.3842,0.2933
COC(C)C#N,13,-286.49503,0.3042
NC(CO)C#N,12,-302.5451,0.2834
NCC(N)C#N,13,-282.66718,0.28
NCC(O)C#N,12,-302.54556,0.2627
OCC(O)C#C,12,-306.3208,0.2813
OCC(O)C#N,11,-322.42523,0.2839
CC(CO)C=O,14,-307.5749,0.2304
CCC(C)C=O,16,-271.65192,0.227
CCC(O)C=O,14,-307.582,0.2365
CCN(C)C=O,15,-287.7204,0.2735
COC(C)C=O,14,-307.5666,0.2269
OCC(O)C=O,12,-343.5036,0.2186
CC(CO)CO,16,-308.7591,0.3342
CCC(C)CC,20,-236.91612,0.3874
CCC(C)CO,18,-272.8382,0.3408
CCC(C)OC,18,-272.83463,0.3341
CCC(O)CC,18,-272.84482,0.3342
CCC(O)CO,16,-308.76807,0.3178
COC(C)CO,16,-308.75732,0.3335
OCC(O)CO,14,-344.68924,0.3096
CC1(CC1)C#C,14,-233.25526,0.2972
CC1(CC1)C#N,13,-249.36382,0.3224
CC1(CN1)C#C,13,-249.29305,0.2885
CC1(CN1)C#N,12,-265.39996,0.2969
CC1(CO1)C#C,12,-269.17612,0.2879
CC1(CO1)C#N,11,-285.28104,0.3038
NC1(CC1)C#N,12,-265.40814,0.3012
OC1(CC1)C#C,12,-269.17645,0.2774
OC1(CC1)C#N,11,-285.28287,0.2964
CC1(CC1)C=O,14,-270.43915,0.2341
CC1(CN1)C=O,13,-286.47736,0.2249
CC1(CO1)C=O,12,-306.35858,0.2218
OC1(CC1)C=O,12,-306.3642,0.2204
CC1(CO)CC1,16,-271.61813,0.3373
CC1(CO)CN1,15,-287.66318,0.3186
CC1(CO)CO1,14,-307.54572,0.3421
CCC1(C)CC1,18,-235.69667,0.3486
CCC1(C)CO1,16,-271.62308,0.3465
CCC1(O)CC1,16,-271.62183,0.3242
COC1(C)CC1,16,-271.61136,0.3348
OCC1(O)CC1,14,-307.5443,0.306
CC1CCC1=O,14,-270.44727,0.2211
CC1CNC1=O,13,-286.5171,0.2825
CC1COC1=N,13,-286.49304,0.2899
CC1COC1=O,12,-306.39774,0.2825
CC1NCC1=O,13,-286.4849,0.2182
CC1OCC1=O,12,-306.36517,0.2252
CN1CCC1=O,13,-286.51492,0.2809
NC1COC1=N,12,-302.5356,0.2687
NC1COC1=O,11,-322.43948,0.2493
OC1CCC1=O,12,-306.3685,0.2226
OC1CNC1=O,11,-322.43677,0.2679
OC1COC1=N,11,-322.41293,0.284
OC1COC1=O,10,-342.31555,0.2616
CC1CCC1C,18,-235.69685,0.3663
CC1CCC1O,16,-271.62253,0.3274
CC1COC1C,16,-271.621,0.3248
CC1OCC1O,14,-307.54474,0.3069
OC1CCC1O,14,-307.55035,0.3067
N=C1CN=CN1,11,-281.49197,0.2275
O=C1CC=CC1,12,-269.2638,0.2245
O=C1CC=CN1,11,-285.33588,0.2152
O=C1CN=CN1,10,-301.396,0.2318
O=C1CN=CO1,9,-321.2714,0.2478
N=C1OCC=C1,11,-285.31183,0.216
O=C1CCC=C1,12,-269.27133,0.1938
O=C1NCC=C1,11,-285.33673,0.2166
N=C1CCCO1,13,-286.51617,0.2866
N=C1COCO1,11,-322.4341,0.2907
N=C1OCCO1,11,-322.44415,0.3105
O=C1CCCC1,14,-270.47247,0.2226
O=C1CCCN1,13,-286.5424,0.2747
O=C1CCCO1,12,-306.41852,0.2795
O=C1CCOC1,12,-306.3866,0.2186
O=C1COCO1,10,-342.33524,0.2772
O=C1NCCN1,12,-302.59927,0.3086
O=C1NCCO1,11,-322.4767,0.3152
O=C1OCCO1,10,-342.35226,0.3336
CC1=CCCC1,16,-234.5225,0.2608
CC1=CCOC1,14,-270.43927,0.2501
CC1=NCCO1,13,-286.51688,0.2718
CC1CC=CC1,16,-234.51624,0.2648
CC1CN=CO1,13,-286.51053,0.2721
OC1CC=CC1,14,-270.4413,0.267
CC1CCC=C1,16,-234.5164,0.2642
CC1COC=N1,13,-286.50824,0.2712
CC1OCC=C1,14,-270.43762,0.2484
OC1CCC=C1,14,-270.44113,0.2633
CC1CCCC1,18,-235.72379,0.3872
CC1CCCO1,16,-271.64746,0.3246
CC1CCOC1,16,-271.6429,0.322
CC1COCO1,14,-307.56924,0.3406
CC1OCCO1,14,-307.57336,0.3439
OC1CCCC1,16,-271.6484,0.3338
OC1CCOC1,14,-307.56625,0.314
CC1C(C)C1C,18,-235.69421,0.3412
CC1C(C)C1O,16,-271.6186,0.3165
CC1C(C)N1C,17,-251.7271,0.293
CC1C(O)C1O,14,-307.54077,0.2838
OC1C(O)C1O,12,-343.46832,0.3058
CC12CC1CC2,16,-234.47495,0.338
CC12CC1CO2,14,-270.39246,0.3155
CC12CC1OC2,14,-270.3882,0.3098
CC12CCC1O2,14,-270.4014,0.3397
OC12CC1CC2,14,-270.3976,0.3309
OC12CC1OC2,12,-306.30902,0.3024
C#CC#CC#C,8,-229.61545,0.19
C#CC#CC#N,7,-245.7119,0.199
N#CC#CC#N,6,-261.80295,0.2113
C#CCCC#C,12,-232.03035,0.3006
C#CCCC#N,11,-248.13779,0.3014
N#CCCC#N,10,-264.24304,0.3384
O=CC#CC#C,8,-266.77744,0.1828
O=CC#CC#N,7,-282.87167,0.1843
O=CC#CC=O,8,-303.94028,0.1966
N=COCC#C,11,-285.2421,0.2834
N=COCC#N,10,-301.34567,0.2828
O=CCCC#C,12,-269.2069,0.2247
O=CCCC#N,11,-285.31366,0.2276
O=CNCC#C,11,-285.27664,0.2752
O=CNCC#N,10,-301.38205,0.2772
O=COCC#C,10,-305.145,0.2768
O=COCC#N,9,-321.2473,0.2797
N=COCC=O,11,-322.42133,0.2165
O=CCCC=O,12,-306.38428,0.2193
O=CCNC=O,11,-322.45624,0.2203
O=CCOC=O,10,-342.3242,0.226
CC#CC#CC,12,-232.0639,0.2291
CC#CCC#C,12,-232.03638,0.2901
CC#CCC#N,11,-248.14386,0.2899
CC#CCC=O,12,-269.21857,0.2194
CN=CNC=O,12,-302.56732,0.2236
CN=COC=O,11,-322.44272,0.2532
CCC#CC#C,12,-232.05034,0.2313
CCC#CC#N,11,-248.15132,0.2468
OCC#CC#C,10,-267.96338,0.2202
OCC#CC#N,9,-284.06296,0.2323
CCC#CC=O,12,-269.2165,0.2053
OCC#CC=O,10,-305.12994,0.2057
CCC#CCC,16,-234.48453,0.2979
CCC#CCO,14,-270.3993,0.279
OCC#CCO,12,-306.31372,0.2807
CCN=COC,15,-287.68314,0.2729
CC#CCCO,14,-270.40598,0.305
CCCC#CC,16,-234.48564,0.3043
COCC#CC,14,-270.39276,0.2837
CCOC=NC,15,-287.68927,0.2729
CCCCC#C,16,-234.47461,0.3166
CCCCC#N,15,-250.58365,0.354
CCNCC#N,14,-266.61633,0.2706
CCOCC#C,14,-270.38614,0.2893
CCOCC#N,13,-286.49222,0.2934
COCCC#C,14,-270.3874,0.3131
COCCC#N,13,-286.49542,0.3075
OCCCC#C,14,-270.3939,0.3158
OCCCC#N,13,-286.50244,0.3174
CCCCC=O,16,-271.65225,0.2292
CCCNC=O,15,-287.7247,0.2832
CCCOC=O,14,-307.59647,0.2866
CCOCC=O,14,-307.5673,0.2294
COCCC=O,14,-307.56354,0.2285
OCCCC=O,14,-307.57193,0.2303
OCCNC=O,13,-323.6471,0.2828
OCCOC=N,13,-323.6149,0.2847
OCCOC=O,12,-343.51785,0.2843
CCCCCC,20,-236.91788,0.3957
CCCCCO,18,-272.83792,0.3427
CCCCOC,18,-272.83072,0.3409
CCCOCC,18,-272.8362,0.3409
CCOCCO,16,-308.7592,0.3431
COCCCO,16,-308.74982,0.3295
COCCOC,16,-308.7419,0.336
OCCCCO,16,-308.758,0.3388
C#CC1CCC1,14,-233.25375,0.3045
C#CC1CCO1,12,-269.1705,0.274
C#CC1COC1,12,-269.17007,0.2907
N#CC1CCC1,13,-249.36238,0.3367
N#CC1CCN1,12,-265.39856,0.267
N#CC1CCO1,11,-285.27594,0.2783
N#CC1COC1,11,-285.27646,0.2867
O=CC1CCC1,14,-270.43124,0.2229
O=CC1CCO1,12,-306.34955,0.2129
O=CC1COC1,12,-306.3472,0.2215
O=CN1CCC1,13,-286.49878,0.2661
CN=C1CCO1,13,-286.48413,0.28
CCC1CCC1,18,-235.69623,0.3752
CCC1CCO1,16,-271.62015,0.3276
CCC1COC1,16,-271.61432,0.3194
COC1CCC1,16,-271.61276,0.3316
COC1COC1,14,-307.52844,0.3167
OCC1CCC1,16,-271.6164,0.3388
OCC1CCO1,14,-307.54196,0.3174
OCC1COC1,14,-307.5345,0.3118
C#CCC1CC1,14,-233.24954,0.314
C#CCC1CO1,12,-269.17065,0.3095
C#CCN1CC1,13,-249.28107,0.2771
N#CCC1CC1,13,-249.35844,0.3375
N#CCC1CN1,12,-265.39618,0.2878
N#CCC1CO1,11,-285.2779,0.3149
N#CCN1CC1,12,-265.38678,0.281
N=COC1CC1,13,-286.46722,0.2799
O=CCC1CC1,14,-270.4278,0.2258
O=CCC1CN1,13,-286.46686,0.2221
O=CCC1CO1,12,-306.34903,0.2249
O=CCN1CC1,13,-286.45978,0.2245
O=CNC1CC1,13,-286.49863,0.2757
O=COC1CC1,12,-306.37012,0.2785
CC#CC1CC1,14,-233.26276,0.2837
CC#CC1CN1,13,-249.30182,0.2698
CC#CC1CO1,12,-269.1807,0.276
CCCC1CC1,18,-235.69383,0.3661
CCCC1CO1,16,-271.61673,0.3582
CCCN1CC1,17,-251.72763,0.3227
CCOC1CC1,16,-271.6112,0.3376
COCC1CC1,16,-271.60635,0.3419
COCC1CN1,15,-287.64566,0.3228
COCC1CO1,14,-307.52692,0.3412
OCCC1CC1,16,-271.6139,0.3424
OCCC1CO1,14,-307.53653,0.343
OCCN1CC1,15,-287.6514,0.333
CC1CC1C#C,14,-233.25539,0.2907
CC1CC1C#N,13,-249.36395,0.3174
CC1NC1C#C,13,-249.2944,0.2832
CC1NC1C#N,12,-265.40115,0.2936
CC1OC1C#C,12,-269.17697,0.281
CC1OC1C#N,11,-285.2815,0.2951
CN1CC1C#C,13,-249.28502,0.2631
CN1CC1C#N,12,-265.39148,0.2692
OC1CC1C#C,12,-269.17725,0.2864
OC1CC1C#N,11,-285.28445,0.3029
CC1CC1C=O,14,-270.4344,0.2288
CC1CN1C=O,13,-286.48657,0.2544
CC1NC1C=O,13,-286.47452,0.222
CC1OC1C=O,12,-306.35388,0.2169
CN1CC1C=O,13,-286.46347,0.1969
OC1CC1C=O,12,-306.35565,0.2289
CC1CC1CO,16,-271.61404,0.3366
CC1NC1CO,15,-287.66058,0.3186
CC1OC1CO,14,-307.5432,0.3423
CCC1CC1C,18,-235.6948,0.357
CCC1CC1O,16,-271.61743,0.3338
CCC1CN1C,17,-251.72617,0.3065
CCC1OC1C,16,-271.62283,0.3538
CCN1CC1C,17,-251.72957,0.3128
CN1CC1CO,15,-287.64407,0.2927
COC1CC1C,16,-271.60886,0.3346
COC1CC1O,14,-307.5293,0.3028
OCC1CC1O,14,-307.53693,0.329
CC(=O)C1CC1,14,-270.4466,0.2339
CC(=O)C1CN1,13,-286.4865,0.2334
CC(=O)C1CO1,12,-306.36145,0.224
CC(=O)N1CC1,13,-286.49237,0.253
NC(=O)C1CC1,13,-286.51743,0.2784
NC(=O)C1CN1,12,-302.5579,0.2697
NC(=O)C1CO1,11,-322.43552,0.2627
NC(=O)N1CC1,12,-302.5587,0.2831
CC(C)C1CC1,18,-235.69531,0.3665
CC(C)C1CO1,16,-271.61642,0.3501
